Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ADCY9	2.89E-18	0.33328971	0.417	0.24	4.80E-14	Exc_2	ADCY9
EML6	3.52E-18	0.335153057	0.53	0.334	5.85E-14	Exc_2	EML6
MYT1L	3.82E-18	0.250059802	0.797	0.575	6.35E-14	Exc_2	MYT1L
HSPA12A	3.93E-18	0.325892533	0.473	0.285	6.54E-14	Exc_2	HSPA12A
FBXW7	4.65E-18	0.324114037	0.47	0.282	7.74E-14	Exc_2	FBXW7
EDIL3	8.90E-18	0.28213787	0.514	0.315	1.48E-13	Exc_2	EDIL3
CHN11	1.12E-17	0.297592461	0.582	0.382	1.86E-13	Exc_2	CHN1
WASF1	1.28E-17	0.373603135	0.344	0.189	2.13E-13	Exc_2	WASF1
MAST3	2.22E-17	0.398596789	0.258	0.127	3.70E-13	Exc_2	MAST3
GRIN2B	2.61E-17	0.257042714	0.733	0.528	4.35E-13	Exc_2	GRIN2B
ARNT2	3.00E-17	0.321099833	0.605	0.409	4.99E-13	Exc_2	ARNT2
PITPNM2	5.65E-17	0.396772523	0.363	0.21	9.40E-13	Exc_2	PITPNM2
FBXO16	6.04E-17	0.351867983	0.295	0.154	1.00E-12	Exc_2	FBXO16
TIAM2	7.40E-17	0.340084136	0.378	0.216	1.23E-12	Exc_2	TIAM2
MAPK1	7.66E-17	0.296752852	0.353	0.195	1.28E-12	Exc_2	MAPK1
MAPT	1.03E-16	0.301046638	0.684	0.492	1.72E-12	Exc_2	MAPT
TBC1D1	1.10E-16	0.358298932	0.277	0.141	1.84E-12	Exc_2	TBC1D1
NEK10	1.54E-16	0.330624081	0.36	0.202	2.55E-12	Exc_2	NEK10
NEURL1	1.75E-16	0.358808113	0.282	0.148	2.92E-12	Exc_2	NEURL1
BSN	1.89E-16	0.321294737	0.298	0.156	3.14E-12	Exc_2	BSN
SYNJ2	1.96E-16	0.264291497	0.277	0.138	3.26E-12	Exc_2	SYNJ2
MAP7	2.07E-16	0.299338272	0.575	0.392	3.45E-12	Exc_2	MAP7
EPB41L4B	3.24E-16	0.311053889	0.28	0.144	5.38E-12	Exc_2	EPB41L4B
MBNL2	4.19E-16	0.301020495	0.478	0.296	6.97E-12	Exc_2	MBNL2
IGSF8	4.44E-16	0.389628258	0.263	0.134	7.38E-12	Exc_2	IGSF8
ZFYVE28	5.39E-16	0.29879802	0.564	0.374	8.97E-12	Exc_2	ZFYVE28
BICC1	6.44E-16	0.332836945	0.274	0.14	1.07E-11	Exc_2	BICC1
EPHA4	1.40E-15	0.27812111	0.382	0.221	2.33E-11	Exc_2	EPHA4
MYH101	2.24E-15	0.274456006	0.483	0.304	3.72E-11	Exc_2	MYH10
KNDC1	2.31E-15	0.318542434	0.344	0.195	3.85E-11	Exc_2	KNDC1
HDAC9	4.08E-15	0.264164741	0.501	0.314	6.79E-11	Exc_2	HDAC9
LMTK2	4.45E-15	0.301862297	0.326	0.182	7.40E-11	Exc_2	LMTK2
ARMC9	6.06E-15	0.34309745	0.324	0.185	1.01E-10	Exc_2	ARMC9
MTCL1	6.13E-15	0.266972316	0.256	0.129	1.02E-10	Exc_2	MTCL1
SYT7	6.54E-15	0.293581839	0.277	0.146	1.09E-10	Exc_2	SYT7
RIMBP2	9.21E-15	0.267793099	0.4	0.237	1.53E-10	Exc_2	RIMBP2
RNF144A	1.03E-14	0.290679502	0.425	0.259	1.71E-10	Exc_2	RNF144A
FBXO34	1.50E-14	0.296770858	0.295	0.162	2.50E-10	Exc_2	FBXO34
PRKCZ	1.59E-14	0.318807458	0.261	0.138	2.64E-10	Exc_2	PRKCZ
PPFIBP1	2.23E-14	0.269325864	0.34	0.194	3.71E-10	Exc_2	PPFIBP1
SLC2A13	2.51E-14	0.26934943	0.546	0.367	4.17E-10	Exc_2	SLC2A13
CLSTN1	2.58E-14	0.287968794	0.41	0.251	4.30E-10	Exc_2	CLSTN1
PACSIN1	5.85E-14	0.320484874	0.269	0.146	9.73E-10	Exc_2	PACSIN1
TMEM181	6.17E-14	0.27702741	0.256	0.133	1.03E-09	Exc_2	TMEM181
HYDIN	8.58E-14	0.251655659	0.348	0.202	1.43E-09	Exc_2	HYDIN
PIAS1	9.58E-14	0.298382669	0.459	0.297	1.59E-09	Exc_2	PIAS1
KIAA1549L	1.73E-13	0.253797529	0.475	0.305	2.88E-09	Exc_2	KIAA1549L
KCNJ6	2.19E-13	0.307410907	0.327	0.192	3.65E-09	Exc_2	KCNJ6
ANO3	2.20E-13	0.300108286	0.308	0.175	3.65E-09	Exc_2	ANO3
FAM13A	2.40E-13	0.2739872	0.345	0.201	4.00E-09	Exc_2	FAM13A
PUM3	2.47E-13	0.290099856	0.298	0.168	4.11E-09	Exc_2	PUM3
RNF115	2.73E-13	0.284873166	0.373	0.229	4.54E-09	Exc_2	RNF115
NBAS	2.98E-13	0.25324772	0.423	0.264	4.96E-09	Exc_2	NBAS
TET3	3.04E-13	0.270814965	0.313	0.179	5.05E-09	Exc_2	TET3
NISCH	3.17E-13	0.271276141	0.271	0.147	5.27E-09	Exc_2	NISCH
EXOC6	5.78E-13	0.316445335	0.429	0.281	9.62E-09	Exc_2	EXOC6
LDLRAD4	6.23E-13	0.256011133	0.603	0.425	1.04E-08	Exc_2	LDLRAD4
DCAF6	6.42E-13	0.293060613	0.292	0.166	1.07E-08	Exc_2	DCAF6
MED12L1	7.16E-13	0.266493657	0.481	0.317	1.19E-08	Exc_2	MED12L
CES4A1	1.31E-12	0.27972852	0.335	0.198	2.18E-08	Exc_2	CES4A
HTR1E	1.46E-12	0.254844438	0.288	0.163	2.42E-08	Exc_2	HTR1E
RAPGEF2	2.97E-12	0.275156482	0.525	0.373	4.95E-08	Exc_2	RAPGEF2
GFOD1	4.73E-12	0.301951388	0.373	0.236	7.86E-08	Exc_2	GFOD1
DNMT3A	6.81E-12	0.291672514	0.326	0.199	1.13E-07	Exc_2	DNMT3A
PRKDC	7.53E-12	0.271228572	0.306	0.181	1.25E-07	Exc_2	PRKDC
KCNB1	8.04E-12	0.292158291	0.412	0.269	1.34E-07	Exc_2	KCNB1
CAMKV	8.30E-12	0.337951477	0.279	0.162	1.38E-07	Exc_2	CAMKV
ZC3H14	9.93E-12	0.25753029	0.298	0.173	1.65E-07	Exc_2	ZC3H14
PLEKHA6	9.96E-12	0.268733638	0.421	0.271	1.66E-07	Exc_2	PLEKHA6
GUCY1A2	1.04E-11	0.286440377	0.408	0.265	1.74E-07	Exc_2	GUCY1A2
TMEM59L1	1.67E-11	0.268911646	0.318	0.19	2.78E-07	Exc_2	TMEM59L
TNPO1	1.76E-11	0.270800846	0.31	0.185	2.92E-07	Exc_2	TNPO1
RAB40C	2.84E-11	0.299802835	0.288	0.175	4.73E-07	Exc_2	RAB40C
DENND4A	3.31E-11	0.264005812	0.467	0.316	5.51E-07	Exc_2	DENND4A
CTC-490E21.12	3.90E-11	0.274308483	0.274	0.16	6.48E-07	Exc_2	CTC-490E21.12
SLC20A2	8.31E-11	0.251696722	0.34	0.214	1.38E-06	Exc_2	SLC20A2
ARMC2	2.27E-10	0.253955617	0.284	0.17	3.77E-06	Exc_2	ARMC2
EPHA3	2.50E-10	0.252766814	0.254	0.148	4.16E-06	Exc_2	EPHA3
SORT1	5.49E-10	0.253574234	0.303	0.188	9.14E-06	Exc_2	SORT1
CA11	8.44E-10	0.250278737	0.254	0.151	1.40E-05	Exc_2	CA11
NCOR2	3.73E-09	0.269927724	0.335	0.222	6.21E-05	Exc_2	NCOR2
TSHZ2	0	2.079663416	0.976	0.193	0	Exc_3	TSHZ2
IL1RAPL2	2.46E-233	1.744811271	0.865	0.185	4.10E-229	Exc_3	IL1RAPL2
DCC	8.90E-199	1.598769911	0.939	0.318	1.48E-194	Exc_3	DCC
RARB	3.06E-188	1.448790566	0.582	0.079	5.09E-184	Exc_3	RARB
COBLL1	4.83E-186	1.132923342	0.362	0.022	8.03E-182	Exc_3	COBLL1
RORB1	6.10E-167	1.441486349	0.788	0.2	1.01E-162	Exc_3	RORB
SLC22A101	3.10E-151	1.332723506	0.831	0.248	5.16E-147	Exc_3	SLC22A10
TOX	1.54E-144	1.382342543	0.77	0.218	2.56E-140	Exc_3	TOX
FOXP2	4.62E-141	1.261305581	0.608	0.121	7.68E-137	Exc_3	FOXP2
VWC2L	7.96E-117	1.096051811	0.463	0.078	1.32E-112	Exc_3	VWC2L
KHDRBS2	3.52E-112	1.015138212	0.96	0.628	5.85E-108	Exc_3	KHDRBS2
KCNH5	4.19E-111	1.154399889	0.537	0.117	6.97E-107	Exc_3	KCNH5
SLC35F31	2.49E-102	1.060059943	0.854	0.389	4.14E-98	Exc_3	SLC35F3
FSTL41	1.44E-97	1.007323856	0.849	0.376	2.40E-93	Exc_3	FSTL4
PTPRD1	3.24E-97	0.680175364	0.997	0.928	5.38E-93	Exc_3	PTPRD
OPCML	1.49E-93	0.672645604	0.995	0.856	2.48E-89	Exc_3	OPCML
SLC38A11	1.51E-90	0.982943682	0.354	0.058	2.51E-86	Exc_3	SLC38A11
FAM19A21	3.42E-86	0.93285384	0.894	0.516	5.70E-82	Exc_3	FAM19A2
LINGO21	5.25E-86	0.83970633	0.958	0.61	8.73E-82	Exc_3	LINGO2
IQCJ-SCHIP12	1.07E-83	0.712163972	0.987	0.722	1.78E-79	Exc_3	IQCJ-SCHIP1
POU6F2	3.95E-82	0.969165839	0.622	0.198	6.57E-78	Exc_3	POU6F2
RALYL1	4.11E-81	0.744172284	0.96	0.728	6.83E-77	Exc_3	RALYL
OLFM3	1.43E-78	0.926951684	0.701	0.27	2.37E-74	Exc_3	OLFM3
ADGRL21	2.58E-74	0.843272236	0.886	0.493	4.29E-70	Exc_3	ADGRL2
KCNIP42	1.11E-69	0.534817521	1	0.971	1.85E-65	Exc_3	KCNIP4
GABRG1	1.78E-65	0.799131165	0.257	0.04	2.96E-61	Exc_3	GABRG1
PDE10A	3.94E-65	0.900325533	0.78	0.401	6.55E-61	Exc_3	PDE10A
LRRK1	7.08E-65	0.818442195	0.5	0.146	1.18E-60	Exc_3	LRRK1
CNTNAP4	7.32E-65	0.846995846	0.55	0.178	1.22E-60	Exc_3	CNTNAP4
NKAIN2	2.14E-62	0.593432501	0.971	0.766	3.55E-58	Exc_3	NKAIN2
SNTG1	1.66E-61	0.632770086	0.955	0.681	2.77E-57	Exc_3	SNTG1
SLC22A6	1.52E-59	0.794087747	0.254	0.044	2.52E-55	Exc_3	SLC22A6
CNTN5	1.02E-58	0.519916252	0.942	0.639	1.69E-54	Exc_3	CNTN5
ALCAM	4.63E-57	0.809805713	0.574	0.209	7.71E-53	Exc_3	ALCAM
KHDRBS31	2.35E-56	0.758668099	0.759	0.384	3.90E-52	Exc_3	KHDRBS3
EPHA31	8.01E-56	0.862180354	0.442	0.137	1.33E-51	Exc_3	EPHA3
CHSY3	4.16E-55	0.745901986	0.778	0.407	6.92E-51	Exc_3	CHSY3
PDZRN4	2.13E-54	0.810192889	0.537	0.197	3.55E-50	Exc_3	PDZRN4
TRHDE	4.88E-54	0.758873205	0.545	0.196	8.12E-50	Exc_3	TRHDE
ANKS1B1	2.73E-52	0.481810457	0.989	0.877	4.55E-48	Exc_3	ANKS1B
NRG1	1.23E-51	0.724466777	0.772	0.406	2.04E-47	Exc_3	NRG1
EPHA5	1.66E-49	0.787191695	0.542	0.213	2.76E-45	Exc_3	EPHA5
KCND3	5.88E-48	0.811259866	0.616	0.294	9.78E-44	Exc_3	KCND3
SLC44A5	8.72E-47	0.710104458	0.664	0.323	1.45E-42	Exc_3	SLC44A5
ATRNL11	1.99E-46	0.559461761	0.923	0.702	3.30E-42	Exc_3	ATRNL1
TSHZ3	9.93E-45	0.749748455	0.431	0.149	1.65E-40	Exc_3	TSHZ3
ZMAT4	2.28E-44	0.671312994	0.563	0.233	3.79E-40	Exc_3	ZMAT4
ADGRB3	3.12E-44	0.366556454	0.997	0.965	5.19E-40	Exc_3	ADGRB3
CNTNAP51	1.64E-43	0.602077951	0.852	0.511	2.72E-39	Exc_3	CNTNAP5
CCDC31	2.69E-43	0.752514721	0.495	0.193	4.48E-39	Exc_3	CCDC3
PRB2	7.60E-43	0.706127008	0.328	0.095	1.26E-38	Exc_3	PRB2
KCNQ3	1.38E-42	0.57383012	0.857	0.527	2.30E-38	Exc_3	KCNQ3
LDB21	3.26E-42	0.625705601	0.794	0.452	5.42E-38	Exc_3	LDB2
EDIL31	5.10E-42	0.647396813	0.648	0.314	8.48E-38	Exc_3	EDIL3
PLCXD3	6.52E-42	0.673234429	0.28	0.071	1.08E-37	Exc_3	PLCXD3
PDE4D1	1.80E-41	0.410202526	0.981	0.89	3.00E-37	Exc_3	PDE4D
RHOBTB2	2.64E-41	0.64634512	0.27	0.068	4.39E-37	Exc_3	RHOBTB2
BRINP11	5.43E-41	0.658347752	0.717	0.377	9.03E-37	Exc_3	BRINP1
CEMIP	7.48E-41	0.66555928	0.257	0.063	1.24E-36	Exc_3	CEMIP
LRFN51	4.28E-39	0.601314213	0.802	0.53	7.12E-35	Exc_3	LRFN5
MLIP1	1.57E-38	0.629505736	0.5	0.205	2.60E-34	Exc_3	MLIP
CAMK1D2	1.99E-38	0.556291049	0.852	0.58	3.30E-34	Exc_3	CAMK1D
EFNA5	7.76E-38	0.671584734	0.653	0.339	1.29E-33	Exc_3	EFNA5
HECW11	8.27E-38	0.532653286	0.783	0.454	1.38E-33	Exc_3	HECW1
GRM7	1.36E-37	0.556472423	0.854	0.547	2.26E-33	Exc_3	GRM7
R3HDM12	5.87E-37	0.539337932	0.907	0.662	9.77E-33	Exc_3	R3HDM1
CPNE9	1.25E-36	0.593387774	0.267	0.072	2.08E-32	Exc_3	CPNE9
SLIT11	1.77E-36	0.619740709	0.524	0.223	2.95E-32	Exc_3	SLIT1
KCNQ51	2.15E-36	0.456393842	0.947	0.725	3.58E-32	Exc_3	KCNQ5
GSG1L1	3.13E-36	0.598274392	0.36	0.119	5.21E-32	Exc_3	GSG1L
KCNH11	3.51E-36	0.69738882	0.545	0.25	5.84E-32	Exc_3	KCNH1
GLIS1	4.05E-36	0.56570352	0.259	0.069	6.73E-32	Exc_3	GLIS1
CACNB4	7.18E-36	0.666056242	0.452	0.181	1.19E-31	Exc_3	CACNB4
HS3ST2	2.24E-35	0.60699036	0.352	0.118	3.73E-31	Exc_3	HS3ST2
HS3ST4	2.28E-35	0.476646829	0.635	0.303	3.79E-31	Exc_3	HS3ST4
OTOGL	2.80E-35	0.63749483	0.251	0.067	4.66E-31	Exc_3	OTOGL
NELL22	9.74E-35	0.574629565	0.772	0.474	1.62E-30	Exc_3	NELL2
ATP8B1	1.33E-33	0.652853666	0.257	0.074	2.21E-29	Exc_3	ATP8B1
NWD21	3.78E-33	0.629825062	0.437	0.177	6.29E-29	Exc_3	NWD2
RFTN11	1.01E-32	0.579527121	0.331	0.113	1.69E-28	Exc_3	RFTN1
DSCAM	1.20E-32	0.402248468	0.918	0.643	2.00E-28	Exc_3	DSCAM
CPNE4	7.38E-32	0.619020044	0.495	0.223	1.23E-27	Exc_3	CPNE4
NELL11	8.15E-32	0.538365681	0.683	0.379	1.36E-27	Exc_3	NELL1
PPP3CA	1.14E-31	0.543783213	0.823	0.589	1.90E-27	Exc_3	PPP3CA
SYT1	1.20E-31	0.337225318	0.995	0.888	1.99E-27	Exc_3	SYT1
PTPRK1	1.52E-31	0.55135194	0.675	0.382	2.52E-27	Exc_3	PTPRK
MYRIP	2.30E-31	0.505196462	0.73	0.402	3.83E-27	Exc_3	MYRIP
DGKI1	4.54E-31	0.48230895	0.802	0.504	7.55E-27	Exc_3	DGKI
PPFIBP11	6.22E-31	0.646009302	0.444	0.193	1.03E-26	Exc_3	PPFIBP1
CTNNA21	9.35E-31	0.297468319	0.987	0.867	1.56E-26	Exc_3	CTNNA2
DNAJC1	1.87E-30	0.592723204	0.426	0.179	3.12E-26	Exc_3	DNAJC1
SEMA3A	4.07E-30	0.536070735	0.267	0.082	6.78E-26	Exc_3	SEMA3A
EPHA41	6.92E-30	0.619432858	0.484	0.222	1.15E-25	Exc_3	EPHA4
PCLO	1.68E-29	0.534407206	0.72	0.44	2.80E-25	Exc_3	PCLO
FOXP1	3.43E-29	0.54977986	0.688	0.401	5.71E-25	Exc_3	FOXP1
XKR6	6.71E-29	0.534768883	0.706	0.448	1.12E-24	Exc_3	XKR6
MEF2C1	8.67E-29	0.429628765	0.894	0.658	1.44E-24	Exc_3	MEF2C
RGS71	4.72E-28	0.389510459	0.958	0.768	7.85E-24	Exc_3	RGS7
SLC8A1	1.46E-27	0.47037461	0.778	0.513	2.42E-23	Exc_3	SLC8A1
GABRB32	1.97E-26	0.455974708	0.762	0.493	3.27E-22	Exc_3	GABRB3
SLC24A2	2.70E-26	0.444000723	0.685	0.392	4.50E-22	Exc_3	SLC24A2
PTCHD4	5.86E-26	0.506083055	0.354	0.14	9.76E-22	Exc_3	PTCHD4
RYR22	6.48E-26	0.359617954	0.937	0.757	1.08E-21	Exc_3	RYR2
CFAP221	1.10E-25	0.573405674	0.294	0.109	1.83E-21	Exc_3	CFAP221
ZNF385B	1.23E-25	0.525627097	0.643	0.378	2.04E-21	Exc_3	ZNF385B
BMPER	3.54E-25	0.507155002	0.463	0.218	5.89E-21	Exc_3	BMPER
CDH181	4.10E-25	0.446120671	0.783	0.518	6.82E-21	Exc_3	CDH18
AGBL4	4.13E-25	0.38378518	0.934	0.758	6.87E-21	Exc_3	AGBL4
SAMD12	9.43E-24	0.45514797	0.767	0.521	1.57E-19	Exc_3	SAMD12
SERPINI1	1.44E-23	0.562650913	0.347	0.148	2.39E-19	Exc_3	SERPINI1
SMAP1	3.18E-23	0.498401637	0.431	0.207	5.29E-19	Exc_3	SMAP1
KCTD8	4.57E-23	0.472369244	0.54	0.287	7.61E-19	Exc_3	KCTD8
CADPS21	4.73E-23	0.392705759	0.627	0.343	7.88E-19	Exc_3	CADPS2
NPTXR1	6.13E-23	0.470620499	0.328	0.134	1.02E-18	Exc_3	NPTXR
MGAT5B1	7.36E-23	0.483624826	0.347	0.148	1.22E-18	Exc_3	MGAT5B
BASP1	3.77E-22	0.478906476	0.463	0.228	6.27E-18	Exc_3	BASP1
DPP6	5.42E-22	0.32609896	0.907	0.678	9.01E-18	Exc_3	DPP6
ANKRD30B	6.60E-22	0.470294568	0.254	0.093	1.10E-17	Exc_3	ANKRD30B
NUAK1	6.83E-22	0.507544114	0.288	0.113	1.14E-17	Exc_3	NUAK1
SPOCK1	7.18E-22	0.351436478	0.701	0.418	1.20E-17	Exc_3	SPOCK1
RTN1	7.83E-22	0.499343438	0.611	0.363	1.30E-17	Exc_3	RTN1
KIAA1456	9.58E-22	0.468067935	0.254	0.093	1.59E-17	Exc_3	KIAA1456
NLK1	1.68E-21	0.436310363	0.616	0.354	2.79E-17	Exc_3	NLK
GRIN2A1	2.45E-21	0.308555953	0.91	0.638	4.08E-17	Exc_3	GRIN2A
LMO4	3.10E-21	0.446093359	0.312	0.128	5.16E-17	Exc_3	LMO4
SEC14L51	4.20E-21	0.547473766	0.333	0.148	6.99E-17	Exc_3	SEC14L5
LIN7A1	4.30E-21	0.507849548	0.349	0.156	7.16E-17	Exc_3	LIN7A
TSPAN5	5.76E-21	0.44751334	0.683	0.438	9.59E-17	Exc_3	TSPAN5
GABRG3	6.87E-21	0.374106794	0.717	0.432	1.14E-16	Exc_3	GABRG3
BRINP31	1.40E-20	0.439696611	0.487	0.253	2.33E-16	Exc_3	BRINP3
SCN1A	4.79E-20	0.432955885	0.537	0.298	7.97E-16	Exc_3	SCN1A
CAMKK12	9.20E-20	0.410288875	0.497	0.267	1.53E-15	Exc_3	CAMKK1
FLRT21	1.28E-19	0.424420576	0.624	0.379	2.13E-15	Exc_3	FLRT2
PDE1A	2.56E-19	0.38677625	0.722	0.467	4.25E-15	Exc_3	PDE1A
FAM13A1	3.14E-19	0.474473726	0.41	0.203	5.22E-15	Exc_3	FAM13A
MLLT3	3.33E-19	0.425648514	0.561	0.333	5.53E-15	Exc_3	MLLT3
MCHR21	6.24E-19	0.489659661	0.265	0.109	1.04E-14	Exc_3	MCHR2
SATB22	6.61E-19	0.480304819	0.437	0.231	1.10E-14	Exc_3	SATB2
CATSPER2	7.90E-19	0.486221167	0.495	0.278	1.31E-14	Exc_3	CATSPER2
SLC4A101	1.03E-18	0.384177872	0.759	0.526	1.71E-14	Exc_3	SLC4A10
LRRC7	1.11E-18	0.294622366	0.939	0.777	1.85E-14	Exc_3	LRRC7
FAM81A	1.24E-18	0.440287382	0.304	0.134	2.06E-14	Exc_3	FAM81A
SORCS11	1.55E-18	0.40200988	0.561	0.326	2.57E-14	Exc_3	SORCS1
GAP43	2.11E-18	0.499556612	0.307	0.138	3.51E-14	Exc_3	GAP43
MICAL21	2.44E-18	0.440656451	0.526	0.298	4.06E-14	Exc_3	MICAL2
GPR158	4.21E-18	0.461624224	0.468	0.257	7.01E-14	Exc_3	GPR158
CCSER1	5.19E-18	0.327378848	0.87	0.668	8.64E-14	Exc_3	CCSER1
PKNOX2	8.50E-18	0.389081117	0.463	0.248	1.41E-13	Exc_3	PKNOX2
STXBP1	8.74E-18	0.459138768	0.484	0.274	1.45E-13	Exc_3	STXBP1
DIRC3	9.82E-18	0.435291201	0.347	0.165	1.63E-13	Exc_3	DIRC3
NAPEPLD	1.44E-17	0.491890515	0.27	0.117	2.39E-13	Exc_3	NAPEPLD
MMP16	1.59E-17	0.412090574	0.556	0.332	2.65E-13	Exc_3	MMP16
ENOX1	2.60E-17	0.361261141	0.743	0.538	4.33E-13	Exc_3	ENOX1
STOX2	2.74E-17	0.463314635	0.463	0.265	4.56E-13	Exc_3	STOX2
JMJD1C	2.76E-17	0.348019372	0.852	0.675	4.60E-13	Exc_3	JMJD1C
GABRG2	2.97E-17	0.434196997	0.339	0.162	4.95E-13	Exc_3	GABRG2
COL11A1	3.02E-17	0.450366615	0.28	0.122	5.02E-13	Exc_3	COL11A1
MAGI1	7.43E-17	0.349848697	0.788	0.601	1.24E-12	Exc_3	MAGI1
HERC1	7.83E-17	0.352500634	0.749	0.544	1.30E-12	Exc_3	HERC1
INPP4B	9.95E-17	0.346674209	0.55	0.329	1.66E-12	Exc_3	INPP4B
NEGR1	1.10E-16	0.274778395	0.915	0.749	1.83E-12	Exc_3	NEGR1
KCNB2	1.16E-16	0.390409164	0.526	0.307	1.93E-12	Exc_3	KCNB2
NCALD	1.74E-16	0.417411711	0.476	0.272	2.89E-12	Exc_3	NCALD
FRMD5	2.02E-16	0.313527749	0.762	0.536	3.36E-12	Exc_3	FRMD5
GABRB2	2.39E-16	0.403732555	0.619	0.399	3.98E-12	Exc_3	GABRB2
GUCY1A21	2.45E-16	0.418868522	0.471	0.267	4.07E-12	Exc_3	GUCY1A2
CABP12	2.57E-16	0.348456207	0.545	0.312	4.28E-12	Exc_3	CABP1
SLC6A7	3.95E-16	0.388434394	0.278	0.122	6.58E-12	Exc_3	SLC6A7
KCND2	4.24E-16	0.367583109	0.667	0.443	7.06E-12	Exc_3	KCND2
SHISA91	4.64E-16	0.298732119	0.757	0.498	7.72E-12	Exc_3	SHISA9
GRM31	7.63E-16	0.394807013	0.402	0.209	1.27E-11	Exc_3	GRM3
RPS6KA5	8.80E-16	0.391438628	0.381	0.198	1.46E-11	Exc_3	RPS6KA5
DNAH6	1.13E-15	0.430828372	0.349	0.175	1.88E-11	Exc_3	DNAH6
MAGI3	1.37E-15	0.400148428	0.415	0.223	2.29E-11	Exc_3	MAGI3
ATP2B21	1.67E-15	0.323890157	0.722	0.481	2.77E-11	Exc_3	ATP2B2
MTA31	2.67E-15	0.462060656	0.405	0.226	4.43E-11	Exc_3	MTA3
THRB	5.84E-15	0.322533133	0.743	0.53	9.72E-11	Exc_3	THRB
RAPGEF21	7.96E-15	0.390413899	0.582	0.377	1.32E-10	Exc_3	RAPGEF2
CCDC85A	8.82E-15	0.417268479	0.405	0.224	1.47E-10	Exc_3	CCDC85A
KCNJ3	9.33E-15	0.384762886	0.426	0.236	1.55E-10	Exc_3	KCNJ3
KLHL32	9.46E-15	0.404826251	0.45	0.263	1.57E-10	Exc_3	KLHL32
SNCA	1.28E-14	0.374778532	0.347	0.177	2.12E-10	Exc_3	SNCA
CAMK2A2	1.33E-14	0.372334213	0.553	0.35	2.21E-10	Exc_3	CAMK2A
CKMT1B	1.38E-14	0.424643939	0.275	0.129	2.29E-10	Exc_3	CKMT1B
AMPH1	1.66E-14	0.413308231	0.426	0.245	2.76E-10	Exc_3	AMPH
ANKRD33B	1.70E-14	0.399537594	0.27	0.125	2.83E-10	Exc_3	ANKRD33B
DCLK12	2.19E-14	0.309600349	0.844	0.639	3.64E-10	Exc_3	DCLK1
ZNF704	3.43E-14	0.405755717	0.307	0.154	5.70E-10	Exc_3	ZNF704
RNF144A1	4.29E-14	0.38664332	0.447	0.266	7.13E-10	Exc_3	RNF144A
DPYD2	4.42E-14	0.292392375	0.783	0.579	7.35E-10	Exc_3	DPYD
SNED12	4.45E-14	0.300235526	0.444	0.243	7.40E-10	Exc_3	SNED1
SPIDR	4.68E-14	0.363200689	0.672	0.475	7.79E-10	Exc_3	SPIDR
OLFM1	4.69E-14	0.341061309	0.286	0.135	7.81E-10	Exc_3	OLFM1
ATP2B12	4.90E-14	0.368291294	0.664	0.452	8.16E-10	Exc_3	ATP2B1
MDGA2	7.28E-14	0.290240962	0.833	0.658	1.21E-09	Exc_3	MDGA2
PCDH71	7.98E-14	0.256252094	0.804	0.576	1.33E-09	Exc_3	PCDH7
SAMD5	8.58E-14	0.382916635	0.27	0.129	1.43E-09	Exc_3	SAMD5
LYST	9.78E-14	0.361388327	0.418	0.235	1.63E-09	Exc_3	LYST
IQSEC3	9.94E-14	0.38311827	0.267	0.126	1.65E-09	Exc_3	IQSEC3
LHFP1	1.41E-13	0.263329866	0.466	0.262	2.35E-09	Exc_3	LHFP
PRKCB2	1.44E-13	0.294425455	0.78	0.543	2.40E-09	Exc_3	PRKCB
ARHGEF31	1.73E-13	0.344454185	0.407	0.229	2.87E-09	Exc_3	ARHGEF3
ANO31	2.10E-13	0.381758985	0.341	0.18	3.49E-09	Exc_3	ANO3
CNKSR22	2.83E-13	0.363038709	0.611	0.414	4.72E-09	Exc_3	CNKSR2
PPM1L1	3.08E-13	0.360735473	0.521	0.322	5.12E-09	Exc_3	PPM1L
PCSK22	5.15E-13	0.274359817	0.619	0.397	8.57E-09	Exc_3	PCSK2
SND1	5.82E-13	0.419815936	0.373	0.212	9.69E-09	Exc_3	SND1
NOVA1	7.75E-13	0.393931561	0.423	0.246	1.29E-08	Exc_3	NOVA1
SH3GL22	1.09E-12	0.32622559	0.508	0.32	1.81E-08	Exc_3	SH3GL2
PPFIA41	1.89E-12	0.317877693	0.286	0.142	3.15E-08	Exc_3	PPFIA4
LRRTM3	2.84E-12	0.377222304	0.558	0.372	4.72E-08	Exc_3	LRRTM3
CAP2	3.01E-12	0.320177203	0.272	0.134	5.01E-08	Exc_3	CAP2
ABCA5	3.92E-12	0.386553648	0.37	0.212	6.51E-08	Exc_3	ABCA5
ARPP211	4.09E-12	0.268015245	0.643	0.421	6.80E-08	Exc_3	ARPP21
CMSS1	8.31E-12	0.358408444	0.376	0.217	1.38E-07	Exc_3	CMSS1
PDZRN3	1.02E-11	0.327720828	0.503	0.32	1.70E-07	Exc_3	PDZRN3
SORL1	1.42E-11	0.299589906	0.437	0.262	2.36E-07	Exc_3	SORL1
HCN1	1.66E-11	0.282457693	0.601	0.397	2.77E-07	Exc_3	HCN1
B4GALNT31	1.67E-11	0.345659761	0.262	0.132	2.77E-07	Exc_3	B4GALNT3
LNX11	2.99E-11	0.372439222	0.275	0.145	4.97E-07	Exc_3	LNX1
